province,year,Total agricultural machinery power (10^4 kW) (China Rural Statistical Yearbook),Total agricultural output value (10^8 yuan) (China Rural Statistical Yearbook),Agricultural mechanization service organizations at year-end (units) (China Agricultural Machinery Industry Yearbook),Agricultural machinery households at year-end (units) (China Agricultural Machinery Industry Yearbook),Cultivated land area per agricultural laborer (10^3 ha/10^4 persons),Machine-ploughing rate (%),Machine-sowing rate (%),Machine-harvesting rate (%),Mechanized irrigation rate (%),Mechanized plant-protection rate (%),Agricultural machinery power per sown area (10^4 kW/10^3 ha),Agricultural output value per agricultural laborer (10^8 yuan/10^4 persons),Agricultural output value per unit cultivated area (10^8 yuan/10^3 ha),Operation income of agricultural machinery per 10^4 kW (10^8 yuan/10^4 kW),Agricultural carbon emissions,M_entropy,M_equal
Anhui,2018,1.01,0.5354270958335695,0.5655490756400536,1.01,0.2288047216493899,0.7667235843507041,1.01,1.01,0.5818747692699666,0.5862366989461393,0.6152650460516926,0.01,0.0529176596746215,0.2543100770613058,0.0102856987847869,0.516604694726001,0.5498262951508153
Anhui,2017,1.01,0.553055630596253,0.502801009579533,1.01,0.2774763624476173,0.8031348725560528,1.01,1.01,0.5992474899377035,0.5646001751288607,0.5215949344572159,0.0650283177602874,0.0246453870078476,0.3521568921232507,0.0166531210070253,0.5163345526158236,0.5546929461734431
Anhui,2016,1.01,0.5948405886252751,0.4585362517099863,1.01,0.3129586391243619,0.8189127294673895,0.981502287689028,1.01,0.6724354426404202,0.5925242766557594,0.5786185868603012,0.0894778508570224,0.0120361761013064,0.3833650148791372,0.011899270127656,0.5291903124977325,0.5691404743158429
Anhui,2015,1.01,0.575321212673105,0.4292159275208321,1.01,0.4082033659869201,0.7293761656631325,0.8840627565592988,1.01,0.7086766936983558,0.5165623949017677,0.4153288315267606,0.0935256373350871,0.0234375911769791,0.2587903135878232,0.01,0.4966682685998347,0.5388333927086708
Anhui,2014,1.01,0.6205596044428423,0.4415819209039548,1.01,0.3099817281817162,0.7698245175634664,0.9247482799837928,1.01,0.8955461899673047,0.5147644869815141,0.5297614550826801,0.1199838159677833,0.01,0.1973219021859767,0.01,0.5173433353717798,0.5582715934174021
Anhui,2013,1.01,0.6212502086463028,0.4184704825029489,1.01,0.2946672730032405,0.7751698230614553,0.8634064212088499,1.01,0.8951405193753083,0.5091103147522396,0.5150791927930009,0.1700031945293906,0.1090625644263327,0.01,0.0163233316119584,0.5092952005133874,0.548512221727402
Jiangxi,2022,0.4028320348928966,0.3385435550650212,0.7144258027191206,0.339831448742784,1.01,0.6877621222302408,0.5310803975362361,0.8059987067225391,0.4528781745054066,0.2585711186735476,0.2562655055449092,0.3215347461018862,0.3464159240847692,0.4232453513537015,0.5981368775577555,0.5019459153394443,0.4991681177153875
Jiangxi,2021,0.390072123841914,0.3439804982176303,0.7115648066135223,0.3308800017938627,1.01,0.6729222686357639,0.4225496597789986,0.8399709924925137,0.4170275106532673,0.2200992563762858,0.1859941088226301,0.2602814516984437,0.3267941026808951,0.4295480541438333,0.608510276976599,0.4758063860844591,0.4780130075150773
Jiangxi,2020,0.381621823394153,0.3500381291687852,0.7008112582781457,0.3280743235940261,1.01,0.6425904264957373,0.4064483361433337,0.807774409522267,0.4349246833094338,0.213152842578147,0.1303707112176708,0.264303575471296,0.3102197522627297,0.4012908901633691,0.6303843147227111,0.4646157212895007,0.467467031754787
Jiangxi,2019,0.3721060663868752,0.3579478333731391,0.6904681002732566,0.3234098052141828,1.01,0.641019693600274,0.3912027017448855,0.7895998956994161,0.5006890125197659,0.1999138377993624,0.1353074951747935,0.3370767571777252,0.2891590720813387,0.3331107361464959,0.6090093223977711,0.463071166815126,0.4653346886392855
Jiangxi,2018,0.3647396818506,0.3594604811678017,0.6654499329328746,0.3198530804843414,0.9917107438529592,0.6411410888406439,0.3807684335966382,0.8075817940712838,0.294655751752008,0.1968420434683231,0.1503136349117052,0.3447505284396006,0.2540589672071098,0.28248675991887,0.5833354586087081,0.4410663920231757,0.4424765587402312
Jiangxi,2017,0.3633782365007834,0.3580999511636016,0.6433964320541502,0.3104186695799584,0.9009136175135164,0.6127073469284705,0.3594020698291775,0.8535471511994248,0.2692335317734641,0.1278706204697898,0.0465814576850891,0.3189959263613021,0.2421683199136762,0.3976688053888992,0.559228469175347,0.4172485644672692,0.4242407070357767
Jiangxi,2016,0.3182636541540651,0.3740952214154863,0.6039808481532147,0.3068402261948304,0.8254860648576116,0.5528064146006388,0.318216457332006,0.8301688507094591,0.284287701858637,0.1251052851892397,0.042983152453073,0.2939548174901972,0.2285032318360721,0.4287801141535364,0.552406532996182,0.3977457315478859,0.4057252382262833
Jiangxi,2015,0.3414453729495512,0.3372099001230995,0.6089597897209329,0.3055491931285788,0.7497450543664422,0.6616312388273998,0.2783739987809459,0.9626409858584796,0.3508219774615949,0.1108673189110346,0.0779273804337778,0.2270783368296018,0.2539889774996539,0.2930919064413907,0.5595377080249611,0.3974586386858639,0.4079246092904964
Jiangxi,2014,0.3301984635083227,0.3152015136171854,0.6054237288135593,0.288607034431692,0.6567013654073269,0.6029907153737173,0.1875597495245633,0.8063927544388385,0.4138726128090322,0.1059417509263559,0.0785260467720841,0.1745796723223469,0.3441839756303424,0.2906699048488079,0.563546925745138,0.3739151157323186,0.3842930809446208
Jiangxi,2013,0.3253921454762655,0.310617593056251,0.602203561197551,0.2816202260612689,0.5938713422142415,0.5917532580144464,0.1200572079690709,0.7826687097731266,0.4002190662150786,0.1069259023801128,0.0919682375280965,0.2074356583708986,0.0309020641910712,0.1825917306460276,0.564181379718107,0.3325375053823258,0.3461605388541076
Hubei,2022,0.6955765505961349,0.7617055425455872,0.359667341625687,0.5643865802565274,0.3679814367185565,0.6163174515873829,0.5550567437560849,0.6506634083163918,0.6597389589619396,0.6434400754769729,0.4568945020287676,0.280240033874259,0.255647793441482,0.1706985947332599,0.1340511662178788,0.4506423965178235,0.4781377453424608
Hubei,2021,0.6885504866893397,0.771962545417275,0.3427428402716268,0.5472105060561554,0.44840461401698,0.616077081216753,0.5833773719793592,0.7021854105008418,0.6762373882148438,0.6388505456019854,0.4062585550252042,0.2985414585542766,0.1996573717612071,0.1336148802826199,0.139007901610098,0.4519518453120147,0.4795119304799043
Hubei,2020,0.6854860094962225,0.7450073155810728,0.4689640491958373,0.542386022188747,0.4856608258878513,0.5870323740230867,0.5838606257929982,0.6601511031601179,0.7117800365365539,0.6501677860631284,0.3718600887685052,0.2981894100695775,0.2361468513545721,0.1520717144751568,0.149676511349635,0.463563806093663,0.4885627149295374
Hubei,2019,0.6842006867607783,0.7423966680772485,0.4805358203635499,0.5676897056433949,0.2794516326914062,0.6023012415201398,0.5811405598734684,0.6648878001417223,0.8151401502474617,0.6444691007294907,0.3601787225462988,0.258688745585183,0.2113927317644381,0.1124018164380441,0.143115664852415,0.4477536966191143,0.476532736482336
Hubei,2018,0.6814316722999163,0.7302767380091056,0.4624989794133085,0.5394704672189169,0.3143509364333017,0.606203993823596,0.5777746843469671,0.6659732260906951,0.5403735050023618,0.6381082859576397,0.3372910282574777,0.2683514116940416,0.1501926424038087,0.0706249509350699,0.095420932371051,0.4171949345394616,0.4452228969504838
Hubei,2017,0.6905414223643619,0.7399756196055692,0.4395875638157517,0.530239734750726,0.3226148264212236,0.5796346809705124,0.5291222218275169,0.6890502206920509,0.5823500021349839,0.6497319417156792,0.2513461046063004,0.2856651525492018,0.12113301449243,0.081135732321769,0.0600396069413689,0.4042226387955964,0.4368111896806297
Hubei,2016,0.6127249006701062,0.787544107562554,0.4515321477428181,0.5606784490271425,0.3112661761515511,0.6188473801498481,0.5158026109096724,0.6899288547280837,0.6408435722338928,0.6458509947058867,0.235428268506218,0.2849057338038602,0.268026184416574,0.2445863829822152,0.0470630773524812,0.4254793708123845,0.4610019227295269
Hubei,2015,0.6830269266480966,0.7454849455352331,0.4454901851126894,0.5669326637474355,0.2756136461491636,0.6808429143920119,0.4855961253755876,0.7812451220371789,0.7383067383812694,0.6502439116161165,0.2678560426440627,0.247325856087003,0.2860463167743823,0.1903532968003453,0.0555181109951003,0.4352569796562119,0.4733255201530451
Hubei,2014,0.6782298335467348,0.821762129905078,0.4315254237288136,0.5386880414661237,0.2321469536643049,0.6278234676093201,0.4502567354572481,0.727682848567944,0.8196837747188702,0.6228805993445125,0.2813040885661629,0.2728535024197135,0.3162237768920174,0.1688399495489926,0.022826020653108,0.4285620136097244,0.4675151430725962
Hubei,2013,0.6683431501053575,0.8465214488399265,0.4142015390664494,0.4929090308841144,0.1954332828080544,0.585426642408548,0.3949236676214752,0.6717341944387344,0.7995114984349565,0.6183373503963964,0.2759237150835808,0.3161424913150974,0.379723438356875,0.2859302008630064,0.0226391742836353,0.4252886908967124,0.4645133883270805
Hunan,2022,0.9649347910300003,0.7208281492274674,1.01,0.6664826911566902,0.6200569095832381,0.5848770616432161,0.3600958343941643,0.6835434004970572,0.4936682783489845,0.3292097657654164,0.8387407390790296,0.3745876551765278,0.3997780136542386,0.7419464366537255,0.2390570207555327,0.5816260898948196,0.6018537831310193
Hunan,2021,0.9736595520112584,0.6951919248523366,1.01,0.6593776915727069,0.6384166589557215,0.5711079084590361,0.3507816746416829,0.7182843110070009,0.5068452131075631,0.3087287089441943,0.8161169676035932,0.292858326937418,0.3907477900140246,0.7490748632766795,0.235729208311554,0.5730688730507864,0.5944613866463179
Hunan,2020,0.9785698927942188,0.7170268613264325,1.01,0.6573430757286878,0.6583755663954935,0.5681235278874015,0.3601788515045141,0.6996888537256126,0.5401169858781683,0.300474712131705,0.7792823172072875,0.3229892880060799,0.3801486175953933,0.7180932566447957,0.234274730671902,0.5728677976863045,0.5949791024998461
